
              -- N E S T --
  Copyright (C) 2004 The NEST Initiative

 Version: 3.9.0-post0.dev0
 Built: Jan 15 2026 10:38:56

 This program is provided AS IS and comes with
 NO WARRANTY. See the file LICENSE for details.

 Problems or suggestions?
   Visit https://www.nest-simulator.org

 Type 'nest.help()' to find out more about NEST.



[   6% ] Model time: 109.5 ms, Real-time factor: 0.3145
[   6% ] Model time: 110.0 ms, Real-time factor: 0.3147
[   6% ] Model time: 110.5 ms, Real-time factor: 0.3148
[   6% ] Model time: 111.0 ms, Real-time factor: 0.3150
[   6% ] Model time: 111.5 ms, Real-time factor: 0.3152
[   6% ] Model time: 112.0 ms, Real-time factor: 0.3154
[   6% ] Model time: 112.5 ms, Real-time factor: 0.3155
[   6% ] Model time: 113.0 ms, Real-time factor: 0.3157
[   6% ] Model time: 113.5 ms, Real-time factor: 0.3158
[   6% ] Model time: 114.0 ms, Real-time factor: 0.3161
[   6% ] Model time: 114.5 ms, Real-time factor: 0.3162
[   6% ] Model time: 115.0 ms, Real-time factor: 0.3164
[   6% ] Model time: 115.5 ms, Real-time factor: 0.3165
[   6% ] Model time: 116.0 ms, Real-time factor: 0.3166
[   6% ] Model time: 116.5 ms, Real-time factor: 0.3168
[   6% ] Model time: 117.0 ms, Real-time factor: 0.3170
[   6% ] Model time: 117.5 ms, Real-time factor: 0.3172
[   6% ] Model time: 118.0 ms, Real-time factor: 0.3173
[   6% ] Model time: 118.5 ms, Real-time factor: 0.3174
[   6% ] Model time: 119.0 ms, Real-time factor: 0.3176
[   6% ] Model time: 119.5 ms, Real-time factor: 0.3178
[   6% ] Model time: 120.0 ms, Real-time factor: 0.3179
[   7% ] Model time: 120.5 ms, Real-time factor: 0.3181
[   7% ] Model time: 121.0 ms, Real-time factor: 0.3182
[   7% ] Model time: 121.5 ms, Real-time factor: 0.3183
[   7% ] Model time: 122.0 ms, Real-time factor: 0.3185
[   7% ] Model time: 122.5 ms, Real-time factor: 0.3187
[   7% ] Model time: 123.0 ms, Real-time factor: 0.3188
[   7% ] Model time: 123.5 ms, Real-time factor: 0.3189
[   7% ] Model time: 124.0 ms, Real-time factor: 0.3190
[   7% ] Model time: 124.5 ms, Real-time factor: 0.3191
[   7% ] Model time: 125.0 ms, Real-time factor: 0.3192
[   7% ] Model time: 125.5 ms, Real-time factor: 0.3194
[   7% ] Model time: 126.0 ms, Real-time factor: 0.3195
[   7% ] Model time: 126.5 ms, Real-time factor: 0.3196
[   7% ] Model time: 127.0 ms, Real-time factor: 0.3197
[   7% ] Model time: 127.5 ms, Real-time factor: 0.3199
[   7% ] Model time: 128.0 ms, Real-time factor: 0.3200
